Figure 0.1 - ,"Scatterplots showing the proportion of articles in each year that are in each of the 12 categories the book uses. The categories are Aesthetics, Epistemology, Ethics, History of Philosophy, Idealism, Logic and Mathematics, Metaphysics, Philosophy of Language, Philosophy of Mind, Philosophy of Religion, Philosophy of Science, Social and Political. The frequencies are described briefly in the text below, then in much more detail in chapter 4. The key point here is that even though this is a scatterplot, it looks like a line graph. The year-to-year changes in how much each topic is represented are tiny."
Figure 1.1 - ,"A scatterplot where the x-axis shows how often each word appears in D. C. Makinson (1965) &quot;The Paradox Of The Preface&quot; Analysis 25:205-207., and the y-axis shows how often the model anticipated that word to appear. Here the expectations are rarely met. The words rational, beliefs, belief, paradox, book are highlighted. Each of them is well below the 45 degree line. That means they appear in the article more often than the model expects. The word belief only appears a bit more often than expected, then others appear much more often."
Figure 1.2 - ,"A scatterplot where the x-axis shows how often each word appears in Donald Davidson (1990) &quot;The Structure And Content Of Truth&quot; Journal of Philosophy 87:279-328., and the y-axis shows how often the model anticipated that word to appear. Here the expectations are usually met. The words truth, true, theory, sentences, language are highlighted. Each of them is close to the 45 degree line. That means they appear in the article about as often than the model expects. The word truth appears a lot; it is 6% of the words in the article. The model expects a little less; around 5%. The others are very close to the 45 degree line."
Figure 1.3 - ,"A scatterplot where the x-axis shows how often each word appears in Dorothy Edgington (1995) &quot;On Conditionals&quot; Mind 104:235-329., and the y-axis shows how often the model anticipated that word to appear. Here the expectations are usually met. The words conditional, true, truth, conditionals, belief are highlighted. Each of them is close to the 45 degree line. That means they appear in the article about as often than the model expects."
Figure 1.4 - ,"A scatterplot where the x-axis shows how often each word appears in Ronald Dworkin (1996) &quot;Objectivity And Truth: You'd Better Believe It&quot; Philosophy and Public Affairs 25:87-139., and the y-axis shows how often the model anticipated that word to appear. Here the expectations are usually met. The words moral, argument, morality, might, claim are highlighted. Each of them is close to the 45 degree line. That means they appear in the article about as often than the model expects. The word moral appears a lot, about 4% of all words in the article. And the model predicts this correctly."
Figure 1.5 - ,"A scatterplot where the x-axis shows how often each word appears in Judith Jarvis Thomson (1998) &quot;The Statue And The Clay&quot; Nožs 32:149-173., and the y-axis shows how often the model anticipated that word to appear. Here the expectations are rarely met. The words properties, clay, part, time, property are highlighted. Each of them is far frothe 45 degree line. The model expects the words property and properties will appear a lot, 3-4% of the time, but they make up only about 1% of the words. It does not expect the words time, part and, especially, clay, to appear as often as they do."
Figure 1.6 - ,"A scatterplot where the x-axis shows how often each word appears in Jon Elster (1990) &quot;Norms Of Revenge&quot; Ethics 100:862-885., and the y-axis shows how often the model anticipated that word to appear. Here the expectations are rarely met. The words revenge, social, norms, honor, society are highlighted. Each of them is far from to the 45 degree line. The model expects the words society and social to appear more often than they do. But it is very surprised at how often the words honor, norms, and revenge, appear."
Figure 1.7 - ,"A scatterplot where the x-axis shows how often each word appears in Michael Fara (2005) &quot;Dispositions And Habituals&quot; Nožs 39:43-82., and the y-axis shows how often the model anticipated that word to appear. Here the expectations are rarely met. The words world, disposition, true, possible, worlds are highlighted. Four of them are far from the 45 degree line. The model expects the words possible, worlds and, especially, world, to appear much more often than they do. But it expects the word disposition to appear much less. The model does correctly predict that the word true will appear about 2% of the time."
Figure 1.8 - ,"A scatterplot where the x-axis shows how often each word appears in David Lewis (1979) &quot;Counterfactual Dependence And Time's Arrow&quot; Nožs 13:455-476., and the y-axis shows how often the model anticipated that word to appear. Here the expectations are mostly met. The words world, laws, past, future, worlds are highlighted. Four of them are close to the 45 degree line. But the model expects the word laws to appear much more often than it does."
Figure 1.9 - ,"A scatterplot where the x-axis shows how often each word appears in George Lakoff and Mark Johnson (1980) &quot;Conceptual Metaphor In Everyday Language&quot; Journal of Philosophy 77:453-486., and the y-axis shows how often the model anticipated that word to appear. Here the expectations are mostly met. The words metaphor, concept, concepts, time, language are highlighted. Four of them are close to the 45 degree line. That means they appear in the article about as often than the model expects. But the model does not expect the word metaphor to appear so often."
Figure 1.10 - ,"A scatterplot where the x-axis shows how often each word appears in Thomas Kelly (2003) &quot;Epistemic Rationality As Instrumental Rationality: A Critique&quot; Philosophy and Phenomenological Research 66:612-640., and the y-axis shows how often the model anticipated that word to appear. Here the expectations are rarely met. The words reasons, epistemic, belief, rationality, reason are highlighted. Belief and reason are far above the 45 degree line, epistemic and rationality far below it. The model expects the word reasons to make up 2% of the words in the article, and in fact it makes up 3%."
Figure 2.1 - ,"A scatterplot showing which proportion of articles each year are in the topic Early Modern. The x-axis shows the year, the y-axis measures the proportion of articles each year in this topic. There is one dot per year. The highest value is in 1930 when 4.5% of articles were in this topic. The lowest value is in 1885 when 0.1% of articles were in this topic. The full table that provides the data for this graph is available in Table A.21 in Appendix A."
