topic,cat_num,cat_name,subject,sub_lower
1,9,Philosophy of Mind,Psychology,psychology
2,5,Idealism,Idealism,idealism
3,12,Social and Political,Life and Value,life and value
4,4,History of Philosophy,Other History,other history
5,4,History of Philosophy,Dewey and Pragmatism,Dewey and pragmatism
6,6,Logic and Mathematics,Definitions,definitions
7,6,Logic and Mathematics,Propositions and Implications,propositions and implications
8,1,Aesthetics,Beauty,beauty
9,9,Philosophy of Mind,Physicalism,physicalism
10,12,Social and Political,History and Culture,history and culture
11,10,Philosophy of Religion,Faith and Theism,faith and theism
12,9,Philosophy of Mind,Self-Consciousness,self-consciousness
13,4,History of Philosophy,Ancient,ancient
14,6,Logic and Mathematics,Universals and Particulars,universals and particulars
15,6,Logic and Mathematics,Verification,verification
16,3,Ethics,Value,value
17,6,Logic and Mathematics,Deduction,deduction
18,11,Philosophy of Science,Mechanisms,mechanisms
19,7,Metaphysics,Temporal Paradoxes,temporal paradoxes
20,7,Metaphysics,Classical Space and Time,classical space and time
21,4,History of Philosophy,Early Modern,early modern
22,8,Philosophy of Language,Meaning and Use,meaning and use
23,12,Social and Political,Marx,Marx
24,13,Split,Ordinary Language,ordinary language
25,3,Ethics,Moral Conscience,moral conscience
26,11,Philosophy of Science,Methodology of Science,methodology of science
27,4,History of Philosophy,Heidegger and Husserl,Heidegger and Husserl
28,9,Philosophy of Mind,Emotions,emotions
29,10,Philosophy of Religion,Ontological Argument,ontological argument
30,11,Philosophy of Science,Chemistry,chemistry
31,4,History of Philosophy,Social Contract Theory,social contract theory
32,4,History of Philosophy,Kant,Kant
33,3,Ethics,Promises and Imperatives,promises and imperatives
34,6,Logic and Mathematics,Analytic/Synthetic,analytic/synthetic
35,13,Split,Freedom and Free Will,freedom and free will
36,13,Split,Crime and Punishment,crime and punishment
37,13,Split,Sets and Grue,sets and grue
38,13,Split,Origins and Purposes,origins and purposes
39,7,Metaphysics,Time,time
40,9,Philosophy of Mind,Color/Colour,color/colour
41,12,Social and Political,War,war
42,1,Aesthetics,Depiction,depiction
43,8,Philosophy of Language,Denoting,denoting
44,11,Philosophy of Science,Chance,chance
45,4,History of Philosophy,Hume,Hume
46,11,Philosophy of Science,Laws,laws
47,9,Philosophy of Mind,Perception,perception
48,9,Philosophy of Mind,Intention,intention
49,3,Ethics,Virtues,virtues
50,11,Philosophy of Science,Space and Time,space and time
51,6,Logic and Mathematics,Mathematics,mathematics
52,12,Social and Political,Liberal Democracy,liberal democracy
53,3,Ethics,Duties,duties
54,7,Metaphysics,Causation,causation
55,13,Split,Arguments,arguments
56,11,Philosophy of Science,Theory Testing,theory testing
57,3,Ethics,Decision Theory,decision theory
58,9,Philosophy of Mind,Minds and Machines,minds and machines
59,6,Logic and Mathematics,Truth,truth
60,8,Philosophy of Language,Radical Translation,radical translation
61,11,Philosophy of Science,Explanation,explanation
62,7,Metaphysics,Personal Identity,personal identity
63,8,Philosophy of Language,Speech Acts,speech acts
64,8,Philosophy of Language,Sense and Reference,sense and reference
65,12,Social and Political,Egalitarianism,egalitarianism
66,11,Philosophy of Science,Quantum Physics,quantum physics
67,11,Philosophy of Science,Theories and Realism,theories and realism
68,11,Philosophy of Science,Functions,functions
69,12,Social and Political,Feminism,feminism
70,13,Split,Medical Ethics and Freud,medical ethics and Freud
71,3,Ethics,Abortion and Self-Defence,abortion and self-defence
72,8,Philosophy of Language,Belief Ascriptions,belief ascriptions
73,11,Philosophy of Science,Thermodynamics,thermodynamics
74,2,Epistemology,Knowledge,knowledge
75,11,Philosophy of Science,Game Theory,game theory
76,2,Epistemology,Justification,justification
77,13,Split,Frankfurt Cases,Frankfurt cases
78,9,Philosophy of Mind,Concepts,concepts
79,13,Split,Races and DNA,races and DNA
80,7,Metaphysics,Modality,modality
81,3,Ethics,Reasons,reasons
82,11,Philosophy of Science,Evolutionary Biology,evolutionary biology
83,3,Ethics,Population Ethics,population ethics
84,2,Epistemology,Formal Epistemology,formal epistemology
85,9,Philosophy of Mind,Wide Content,wide content
86,6,Logic and Mathematics,Vagueness,vagueness
87,9,Philosophy of Mind,Cognitive Science,cognitive science
88,11,Philosophy of Science,Models,models
89,7,Metaphysics,Composition and Constitution,composition and constitution
90,13,Split,Norms,norms
2401,3,Ethics,OLP Ethics,OLP ethics
2402,9,Philosophy of Mind,OLP Mind,OLP mind
3501,12,Social and Political,Political Freedom,political freedom
3502,3,Ethics,Free Will,free will
3601,3,Ethics,Forgiveness,forgiveness
3602,12,Social and Political,Law,law
3701,11,Philosophy of Science,Grue,grue
3702,6,Logic and Mathematics,Sets,sets
3801,11,Philosophy of Science,Teleology,teleology
3802,7,Metaphysics,Origin Essentialism,origin essentialism
5501,9,Philosophy of Mind,Conceivability Arguments,conceivability arguments
5502,2,Epistemology,Arguments,arguments
7001,3,Ethics,Medical Ethics,medical ethics
7002,9,Philosophy of Mind,Freud,Freud
7701,3,Ethics,Frankfurt Cases,Frankfurt cases
7702,1,Aesthetics,Fiction,fiction
7901,11,Philosophy of Science,DNA,DNA
7902,12,Social and Political,Race,race
9001,8,Philosophy of Language,Language Norms,language norms
9002,3,Ethics,Moral Norms,moral norms
